order_id,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota,total_pendapatan
MAG-2043,2026-08-10,Fashion,4,50000,E-Wallet,Magelang,200000
MAG-2044,2026-08-16,Rumah Tangga,7,150000,COD,Magelang,1050000
MAG-2045,2026-08-09,Elektronik,4,75000,Transfer Bank,Magelang,300000
MAG-2046,2026-08-31,Kesehatan & Kecantikan,4,100000,E-Wallet,Magelang,400000
MAG-2047,2026-08-05,Elektronik,6,50000,Transfer Bank,Magelang,300000
MAG-2048,2026-08-20,Rumah Tangga,2,75000,Kartu Kredit,Magelang,150000
MAG-2049,2026-08-04,Fashion,6,250000,COD,Magelang,1500000
MAG-2050,2026-08-29,Makanan & Minuman,1,250000,COD,Magelang,250000
MAG-2051,2026-08-08,Rumah Tangga,5,150000,Transfer Bank,Magelang,750000
MAG-2052,2026-08-11,Rumah Tangga,7,75000,Kartu Kredit,Magelang,525000
MAG-2053,2026-08-21,Elektronik,6,50000,COD,Magelang,300000
MAG-2054,2026-08-25,Rumah Tangga,4,250000,Transfer Bank,Magelang,1000000
MAG-2055,2026-08-08,Makanan & Minuman,2,100000,E-Wallet,Magelang,200000
MAG-2056,2026-08-07,Rumah Tangga,5,150000,E-Wallet,Magelang,750000
MAG-2057,2026-08-15,Makanan & Minuman,7,75000,E-Wallet,Magelang,525000
MAG-2058,2026-08-10,Fashion,3,100000,COD,Magelang,300000
MAG-2059,2026-08-21,Makanan & Minuman,1,75000,Kartu Kredit,Magelang,75000
MAG-2060,2026-08-19,Fashion,6,100000,Kartu Kredit,Magelang,600000
MAG-2061,2026-08-24,Makanan & Minuman,3,100000,Kartu Kredit,Magelang,300000
MAG-2062,2026-08-08,Makanan & Minuman,4,150000,Kartu Kredit,Magelang,600000
MAG-2063,2026-08-08,Elektronik,1,25000,Transfer Bank,Magelang,25000
MAG-2064,2026-08-16,Kesehatan & Kecantikan,1,150000,Kartu Kredit,Magelang,150000
MAG-2065,2026-08-13,Kesehatan & Kecantikan,2,250000,Transfer Bank,Magelang,500000
MAG-2066,2026-08-01,Rumah Tangga,1,75000,COD,Magelang,75000
MAG-2067,2026-08-21,Fashion,5,150000,Transfer Bank,Magelang,750000
MAG-2068,2026-08-11,Makanan & Minuman,4,150000,Transfer Bank,Magelang,600000
MAG-2069,2026-08-13,Elektronik,1,50000,Transfer Bank,Magelang,50000
MAG-2070,2026-08-18,Fashion,4,25000,E-Wallet,Magelang,100000
MAG-2071,2026-08-25,Kesehatan & Kecantikan,7,75000,Transfer Bank,Magelang,525000
MAG-2072,2026-08-12,Rumah Tangga,7,75000,Transfer Bank,Magelang,525000
MAG-2073,2026-08-20,Rumah Tangga,6,100000,COD,Magelang,600000
MAG-2074,2026-08-16,Makanan & Minuman,1,100000,COD,Magelang,100000
MAG-2075,2026-08-02,Rumah Tangga,2,150000,COD,Magelang,300000
MAG-2076,2026-08-30,Fashion,2,100000,E-Wallet,Magelang,200000
MAG-2077,2026-08-25,Elektronik,2,150000,COD,Magelang,300000
MAG-2078,2026-08-05,Elektronik,7,25000,E-Wallet,Magelang,175000
MAG-2079,2026-08-29,Elektronik,6,50000,Transfer Bank,Magelang,300000
MAG-2080,2026-08-20,Elektronik,4,25000,COD,Magelang,100000
MAG-2081,2026-08-19,Elektronik,2,50000,E-Wallet,Magelang,100000
MAG-2082,2026-08-04,Rumah Tangga,5,100000,Transfer Bank,Magelang,500000
MAG-2083,2026-08-31,Kesehatan & Kecantikan,3,75000,Transfer Bank,Magelang,225000
MAG-2084,2026-08-11,Rumah Tangga,2,50000,E-Wallet,Magelang,100000
MAG-2085,2026-08-20,Makanan & Minuman,3,250000,COD,Magelang,750000
MAG-2086,2026-08-29,Fashion,7,50000,Kartu Kredit,Magelang,350000
MAG-2087,2026-08-08,Fashion,7,25000,E-Wallet,Magelang,175000
MAG-2088,2026-08-21,Fashion,5,150000,COD,Magelang,750000
MAG-2089,2026-08-28,Makanan & Minuman,7,50000,Kartu Kredit,Magelang,350000
MAG-2090,2026-08-09,Kesehatan & Kecantikan,2,25000,E-Wallet,Magelang,50000
MAG-2091,2026-08-23,Elektronik,4,250000,E-Wallet,Magelang,1000000
MAG-2092,2026-08-27,Kesehatan & Kecantikan,1,250000,Transfer Bank,Magelang,250000
MAG-2093,2026-08-27,Elektronik,7,50000,Transfer Bank,Magelang,350000
MAG-2094,2026-08-20,Makanan & Minuman,5,50000,Transfer Bank,Magelang,250000
MAG-2095,2026-08-24,Fashion,5,150000,Transfer Bank,Magelang,750000
MAG-2096,2026-08-15,Elektronik,5,150000,COD,Magelang,750000
MAG-2097,2026-08-16,Makanan & Minuman,6,250000,Transfer Bank,Magelang,1500000
MAG-2098,2026-08-23,Elektronik,1,25000,Kartu Kredit,Magelang,25000
MAG-2099,2026-08-06,Kesehatan & Kecantikan,5,250000,Kartu Kredit,Magelang,1250000
MAG-2100,2026-08-23,Makanan & Minuman,5,150000,COD,Magelang,750000
MAG-2101,2026-08-10,Fashion,3,100000,Transfer Bank,Magelang,300000
MAG-2102,2026-08-30,Fashion,3,50000,Transfer Bank,Magelang,150000
MAG-2103,2026-08-14,Fashion,6,75000,E-Wallet,Magelang,450000
MAG-2104,2026-08-03,Fashion,5,150000,Transfer Bank,Magelang,750000
MAG-2105,2026-08-19,Rumah Tangga,7,25000,COD,Magelang,175000
MAG-2106,2026-08-27,Kesehatan & Kecantikan,2,50000,Transfer Bank,Magelang,100000
MAG-2107,2026-08-16,Makanan & Minuman,5,250000,COD,Magelang,1250000
MAG-2108,2026-08-29,Fashion,3,150000,Kartu Kredit,Magelang,450000
MAG-2109,2026-08-12,Elektronik,4,250000,Transfer Bank,Magelang,1000000
MAG-2110,2026-08-28,Makanan & Minuman,1,100000,E-Wallet,Magelang,100000
MAG-2111,2026-08-11,Kesehatan & Kecantikan,4,150000,Kartu Kredit,Magelang,600000
MAG-2112,2026-08-18,Fashion,4,150000,COD,Magelang,600000
MAG-2113,2026-08-31,Makanan & Minuman,3,100000,COD,Magelang,300000
MAG-2114,2026-08-04,Kesehatan & Kecantikan,3,250000,COD,Magelang,750000
MAG-2115,2026-08-29,Elektronik,2,25000,COD,Magelang,50000
MAG-2116,2026-08-04,Makanan & Minuman,6,75000,COD,Magelang,450000
MAG-2117,2026-08-20,Rumah Tangga,3,50000,COD,Magelang,150000
MAG-2118,2026-08-21,Elektronik,3,100000,E-Wallet,Magelang,300000
MAG-2119,2026-08-16,Kesehatan & Kecantikan,7,150000,E-Wallet,Magelang,1050000
MAG-2120,2026-08-15,Rumah Tangga,4,75000,Transfer Bank,Magelang,300000
MAG-2121,2026-08-27,Elektronik,7,50000,COD,Magelang,350000
MAG-2122,2026-08-06,Fashion,7,250000,Transfer Bank,Magelang,1750000
MAG-2123,2026-08-26,Fashion,5,75000,COD,Magelang,375000
MAG-2124,2026-08-29,Makanan & Minuman,3,100000,E-Wallet,Magelang,300000
MAG-2125,2026-08-06,Fashion,7,100000,Kartu Kredit,Magelang,700000
MAG-2126,2026-08-25,Fashion,4,100000,COD,Magelang,400000
MAG-2127,2026-08-20,Fashion,7,50000,COD,Magelang,350000
MAG-2128,2026-08-07,Makanan & Minuman,7,25000,Kartu Kredit,Magelang,175000
MAG-2129,2026-08-25,Elektronik,5,25000,Transfer Bank,Magelang,125000
MAG-2130,2026-08-08,Rumah Tangga,2,75000,E-Wallet,Magelang,150000
MAG-2131,2026-08-28,Rumah Tangga,3,250000,E-Wallet,Magelang,750000
MAG-2132,2026-08-06,Elektronik,6,100000,Transfer Bank,Magelang,600000
MAG-2133,2026-08-15,Makanan & Minuman,6,150000,COD,Magelang,900000
MAG-2134,2026-08-08,Rumah Tangga,3,100000,E-Wallet,Magelang,300000
MAG-2135,2026-08-06,Makanan & Minuman,1,50000,Kartu Kredit,Magelang,50000
MAG-2136,2026-08-05,Fashion,3,75000,Kartu Kredit,Magelang,225000
MAG-2137,2026-08-21,Kesehatan & Kecantikan,2,50000,COD,Magelang,100000
MAG-2138,2026-08-24,Elektronik,5,250000,E-Wallet,Magelang,1250000
MAG-2139,2026-08-04,Fashion,2,250000,COD,Magelang,500000
MAG-2140,2026-08-16,Fashion,1,150000,COD,Magelang,150000
MAG-2141,2026-08-03,Elektronik,6,250000,Kartu Kredit,Magelang,1500000
MAG-2142,2026-08-04,Kesehatan & Kecantikan,7,50000,COD,Magelang,350000
MAG-2143,2026-08-19,Rumah Tangga,1,250000,Kartu Kredit,Magelang,250000
MAG-2144,2026-08-26,Fashion,7,50000,Transfer Bank,Magelang,350000
MAG-2145,2026-08-14,Elektronik,5,150000,E-Wallet,Magelang,750000
MAG-2146,2026-08-15,Makanan & Minuman,1,250000,Kartu Kredit,Magelang,250000
MAG-2147,2026-08-04,Fashion,5,75000,Kartu Kredit,Magelang,375000
MAG-2148,2026-08-15,Makanan & Minuman,7,50000,Kartu Kredit,Magelang,350000
MAG-2149,2026-08-29,Elektronik,6,250000,COD,Magelang,1500000
MAG-2150,2026-08-06,Fashion,6,25000,Kartu Kredit,Magelang,150000
MAG-2151,2026-08-23,Rumah Tangga,1,75000,Transfer Bank,Magelang,75000
MAG-2152,2026-08-30,Fashion,4,25000,Transfer Bank,Magelang,100000
MAG-2153,2026-08-23,Makanan & Minuman,3,25000,COD,Magelang,75000
MAG-2154,2026-08-22,Makanan & Minuman,2,50000,E-Wallet,Magelang,100000
MAG-2155,2026-08-27,Rumah Tangga,5,150000,COD,Magelang,750000
MAG-2156,2026-08-22,Kesehatan & Kecantikan,7,75000,COD,Magelang,525000
MAG-2157,2026-08-18,Kesehatan & Kecantikan,3,250000,COD,Magelang,750000
MAG-2158,2026-08-24,Fashion,5,150000,COD,Magelang,750000
MAG-2159,2026-08-12,Fashion,7,250000,Transfer Bank,Magelang,1750000
MAG-2160,2026-08-31,Kesehatan & Kecantikan,6,50000,COD,Magelang,300000
MAG-2161,2026-08-31,Makanan & Minuman,2,75000,E-Wallet,Magelang,150000
MAG-2162,2026-08-05,Elektronik,3,100000,COD,Magelang,300000
MAG-2163,2026-08-08,Elektronik,7,25000,Transfer Bank,Magelang,175000
MAG-2164,2026-08-21,Fashion,4,250000,Transfer Bank,Magelang,1000000
MAG-2165,2026-08-28,Fashion,1,150000,COD,Magelang,150000
MAG-2166,2026-08-12,Kesehatan & Kecantikan,6,75000,Kartu Kredit,Magelang,450000
MAG-2167,2026-08-06,Rumah Tangga,7,25000,COD,Magelang,175000
MAG-2168,2026-08-18,Kesehatan & Kecantikan,6,100000,Kartu Kredit,Magelang,600000
MAG-2169,2026-08-23,Makanan & Minuman,6,250000,Kartu Kredit,Magelang,1500000
MAG-2170,2026-08-26,Kesehatan & Kecantikan,1,150000,Kartu Kredit,Magelang,150000
MAG-2171,2026-08-19,Elektronik,1,250000,Kartu Kredit,Magelang,250000
MAG-2172,2026-08-14,Kesehatan & Kecantikan,3,100000,E-Wallet,Magelang,300000
MAG-2173,2026-08-07,Elektronik,5,150000,E-Wallet,Magelang,750000
MAG-2174,2026-08-04,Elektronik,7,50000,Kartu Kredit,Magelang,350000
MAG-2175,2026-08-25,Kesehatan & Kecantikan,6,50000,Kartu Kredit,Magelang,300000
MAG-2176,2026-08-15,Fashion,3,75000,Kartu Kredit,Magelang,225000
MAG-2177,2026-08-18,Makanan & Minuman,1,250000,Kartu Kredit,Magelang,250000
MAG-2178,2026-08-24,Elektronik,4,250000,E-Wallet,Magelang,1000000
MAG-2179,2026-08-21,Elektronik,5,25000,COD,Magelang,125000
MAG-2180,2026-08-30,Elektronik,3,25000,Transfer Bank,Magelang,75000
MAG-2181,2026-08-14,Fashion,6,50000,Transfer Bank,Magelang,300000
MAG-2182,2026-08-16,Makanan & Minuman,5,250000,Kartu Kredit,Magelang,1250000
MAG-2183,2026-08-18,Elektronik,6,25000,COD,Magelang,150000
MAG-2184,2026-08-25,Rumah Tangga,3,100000,Transfer Bank,Magelang,300000
MAG-2185,2026-08-21,Fashion,5,75000,Transfer Bank,Magelang,375000
MAG-2186,2026-08-01,Makanan & Minuman,7,100000,Kartu Kredit,Magelang,700000
MAG-2187,2026-08-21,Kesehatan & Kecantikan,7,250000,Transfer Bank,Magelang,1750000
MAG-2188,2026-08-29,Rumah Tangga,4,25000,Kartu Kredit,Magelang,100000
MAG-2189,2026-08-16,Kesehatan & Kecantikan,2,250000,E-Wallet,Magelang,500000
MAG-2190,2026-08-19,Fashion,7,150000,E-Wallet,Magelang,1050000
MAG-2191,2026-08-30,Fashion,7,150000,COD,Magelang,1050000
MAG-2192,2026-08-29,Kesehatan & Kecantikan,3,100000,Transfer Bank,Magelang,300000
MAG-2193,2026-08-22,Fashion,1,150000,COD,Magelang,150000
MAG-2194,2026-08-12,Fashion,4,150000,COD,Magelang,600000
MAG-2195,2026-08-09,Makanan & Minuman,1,250000,COD,Magelang,250000
MAG-2196,2026-08-28,Fashion,6,250000,COD,Magelang,1500000
MAG-2197,2026-08-14,Elektronik,1,250000,COD,Magelang,250000
MAG-2198,2026-08-02,Makanan & Minuman,6,100000,Transfer Bank,Magelang,600000
MAG-2199,2026-08-25,Elektronik,3,150000,E-Wallet,Magelang,450000
YOG-2000,2026-08-20,Fashion,5,250000,E-Wallet,Yogyakarta,1250000
YOG-2001,2026-08-24,Fashion,4,150000,Kartu Kredit,Yogyakarta,600000
YOG-2002,2026-08-29,Rumah Tangga,4,100000,E-Wallet,Yogyakarta,400000
YOG-2003,2026-08-13,Fashion,7,250000,E-Wallet,Yogyakarta,1750000
YOG-2004,2026-08-09,Elektronik,7,75000,COD,Yogyakarta,525000
YOG-2005,2026-08-10,Fashion,4,250000,COD,Yogyakarta,1000000
YOG-2006,2026-08-26,Fashion,1,75000,E-Wallet,Yogyakarta,75000
YOG-2007,2026-08-08,Elektronik,5,25000,COD,Yogyakarta,125000
YOG-2008,2026-08-07,Kesehatan & Kecantikan,7,25000,COD,Yogyakarta,175000
YOG-2009,2026-08-23,Fashion,1,25000,E-Wallet,Yogyakarta,25000
YOG-2010,2026-08-02,Kesehatan & Kecantikan,1,150000,Transfer Bank,Yogyakarta,150000
YOG-2011,2026-08-08,Kesehatan & Kecantikan,7,250000,Kartu Kredit,Yogyakarta,1750000
YOG-2012,2026-08-17,Fashion,2,25000,Transfer Bank,Yogyakarta,50000
YOG-2013,2026-08-29,Elektronik,7,150000,E-Wallet,Yogyakarta,1050000
YOG-2014,2026-08-15,Kesehatan & Kecantikan,5,250000,COD,Yogyakarta,1250000
YOG-2015,2026-08-20,Fashion,5,25000,E-Wallet,Yogyakarta,125000
YOG-2016,2026-08-10,Fashion,1,100000,E-Wallet,Yogyakarta,100000
YOG-2017,2026-08-31,Rumah Tangga,2,150000,E-Wallet,Yogyakarta,300000
YOG-2018,2026-08-05,Rumah Tangga,7,250000,E-Wallet,Yogyakarta,1750000
YOG-2019,2026-08-30,Makanan & Minuman,6,250000,Transfer Bank,Yogyakarta,1500000
YOG-2020,2026-08-21,Elektronik,3,50000,Kartu Kredit,Yogyakarta,150000
YOG-2021,2026-08-24,Makanan & Minuman,1,75000,Kartu Kredit,Yogyakarta,75000
YOG-2022,2026-08-22,Elektronik,1,25000,Kartu Kredit,Yogyakarta,25000
YOG-2023,2026-08-21,Rumah Tangga,3,150000,COD,Yogyakarta,450000
YOG-2024,2026-08-09,Elektronik,2,75000,COD,Yogyakarta,150000
YOG-2025,2026-08-27,Fashion,3,50000,E-Wallet,Yogyakarta,150000
YOG-2026,2026-08-10,Fashion,2,50000,Kartu Kredit,Yogyakarta,100000
YOG-2027,2026-08-16,Elektronik,3,75000,E-Wallet,Yogyakarta,225000
YOG-2028,2026-08-12,Elektronik,2,150000,Kartu Kredit,Yogyakarta,300000
YOG-2029,2026-08-21,Elektronik,4,75000,E-Wallet,Yogyakarta,300000
YOG-2030,2026-08-24,Fashion,4,25000,COD,Yogyakarta,100000
YOG-2031,2026-08-04,Makanan & Minuman,3,100000,COD,Yogyakarta,300000
YOG-2032,2026-08-18,Fashion,1,100000,Transfer Bank,Yogyakarta,100000
YOG-2033,2026-08-17,Fashion,1,150000,E-Wallet,Yogyakarta,150000
YOG-2034,2026-08-04,Rumah Tangga,7,75000,Kartu Kredit,Yogyakarta,525000
YOG-2035,2026-08-18,Elektronik,2,25000,E-Wallet,Yogyakarta,50000
YOG-2036,2026-08-21,Fashion,3,150000,COD,Yogyakarta,450000
YOG-2037,2026-08-09,Rumah Tangga,6,100000,Kartu Kredit,Yogyakarta,600000
YOG-2038,2026-08-23,Elektronik,6,250000,COD,Yogyakarta,1500000
YOG-2039,2026-08-11,Elektronik,4,25000,Transfer Bank,Yogyakarta,100000
YOG-2040,2026-08-27,Makanan & Minuman,7,100000,E-Wallet,Yogyakarta,700000
YOG-2041,2026-08-29,Elektronik,7,150000,COD,Yogyakarta,1050000
YOG-2042,2026-08-17,Rumah Tangga,7,75000,COD,Yogyakarta,525000
YOG-2043,2026-08-10,Makanan & Minuman,7,75000,COD,Yogyakarta,525000
YOG-2044,2026-08-04,Kesehatan & Kecantikan,4,100000,COD,Yogyakarta,400000
YOG-2045,2026-08-11,Fashion,2,25000,Kartu Kredit,Yogyakarta,50000
YOG-2046,2026-08-09,Fashion,7,250000,COD,Yogyakarta,1750000
YOG-2047,2026-08-21,Elektronik,4,250000,COD,Yogyakarta,1000000
YOG-2048,2026-08-10,Makanan & Minuman,7,25000,Transfer Bank,Yogyakarta,175000
YOG-2049,2026-08-03,Fashion,2,25000,Kartu Kredit,Yogyakarta,50000
YOG-2050,2026-08-26,Makanan & Minuman,6,75000,Kartu Kredit,Yogyakarta,450000
YOG-2051,2026-08-07,Makanan & Minuman,4,150000,E-Wallet,Yogyakarta,600000
YOG-2052,2026-08-06,Fashion,7,75000,E-Wallet,Yogyakarta,525000
YOG-2053,2026-08-17,Kesehatan & Kecantikan,3,25000,Transfer Bank,Yogyakarta,75000
YOG-2054,2026-08-25,Makanan & Minuman,3,50000,COD,Yogyakarta,150000
YOG-2055,2026-08-10,Elektronik,4,50000,E-Wallet,Yogyakarta,200000
YOG-2056,2026-08-24,Makanan & Minuman,5,100000,Kartu Kredit,Yogyakarta,500000
YOG-2057,2026-08-23,Elektronik,6,100000,COD,Yogyakarta,600000
YOG-2058,2026-08-06,Elektronik,1,100000,Kartu Kredit,Yogyakarta,100000
YOG-2059,2026-08-23,Fashion,5,150000,COD,Yogyakarta,750000
YOG-2060,2026-08-08,Elektronik,4,150000,COD,Yogyakarta,600000
YOG-2061,2026-08-09,Fashion,2,25000,Transfer Bank,Yogyakarta,50000
YOG-2062,2026-08-04,Rumah Tangga,1,150000,COD,Yogyakarta,150000
YOG-2063,2026-08-19,Kesehatan & Kecantikan,5,50000,COD,Yogyakarta,250000
YOG-2064,2026-08-24,Makanan & Minuman,5,250000,E-Wallet,Yogyakarta,1250000
YOG-2065,2026-08-22,Fashion,6,150000,Transfer Bank,Yogyakarta,900000
YOG-2066,2026-08-11,Makanan & Minuman,3,50000,Kartu Kredit,Yogyakarta,150000
YOG-2067,2026-08-15,Rumah Tangga,5,150000,E-Wallet,Yogyakarta,750000
YOG-2068,2026-08-17,Fashion,6,100000,Transfer Bank,Yogyakarta,600000
YOG-2069,2026-08-27,Fashion,7,25000,Kartu Kredit,Yogyakarta,175000
YOG-2070,2026-08-22,Kesehatan & Kecantikan,1,75000,E-Wallet,Yogyakarta,75000
YOG-2071,2026-08-19,Fashion,2,250000,Kartu Kredit,Yogyakarta,500000
YOG-2072,2026-08-23,Kesehatan & Kecantikan,5,100000,E-Wallet,Yogyakarta,500000
YOG-2073,2026-08-08,Kesehatan & Kecantikan,3,150000,Kartu Kredit,Yogyakarta,450000
YOG-2074,2026-08-13,Rumah Tangga,6,75000,E-Wallet,Yogyakarta,450000
YOG-2075,2026-08-24,Makanan & Minuman,6,25000,COD,Yogyakarta,150000
YOG-2076,2026-08-14,Elektronik,4,150000,Kartu Kredit,Yogyakarta,600000
YOG-2077,2026-08-14,Rumah Tangga,5,75000,E-Wallet,Yogyakarta,375000
YOG-2078,2026-08-27,Makanan & Minuman,7,250000,Kartu Kredit,Yogyakarta,1750000
YOG-2079,2026-08-27,Rumah Tangga,4,25000,Transfer Bank,Yogyakarta,100000
YOG-2080,2026-08-18,Kesehatan & Kecantikan,3,250000,Kartu Kredit,Yogyakarta,750000
YOG-2081,2026-08-20,Rumah Tangga,1,100000,COD,Yogyakarta,100000
YOG-2082,2026-08-16,Elektronik,4,250000,Kartu Kredit,Yogyakarta,1000000
YOG-2083,2026-08-22,Fashion,6,75000,COD,Yogyakarta,450000
YOG-2084,2026-08-08,Fashion,1,75000,Kartu Kredit,Yogyakarta,75000
YOG-2085,2026-08-18,Fashion,3,150000,Kartu Kredit,Yogyakarta,450000
YOG-2086,2026-08-27,Fashion,6,150000,Transfer Bank,Yogyakarta,900000
YOG-2087,2026-08-30,Elektronik,3,100000,COD,Yogyakarta,300000
YOG-2088,2026-08-14,Makanan & Minuman,2,50000,Transfer Bank,Yogyakarta,100000
YOG-2089,2026-08-22,Kesehatan & Kecantikan,1,150000,Kartu Kredit,Yogyakarta,150000
YOG-2090,2026-08-27,Rumah Tangga,6,250000,E-Wallet,Yogyakarta,1500000
YOG-2091,2026-08-29,Elektronik,1,50000,COD,Yogyakarta,50000
YOG-2092,2026-08-08,Elektronik,6,50000,Transfer Bank,Yogyakarta,300000
YOG-2093,2026-08-13,Fashion,2,100000,Transfer Bank,Yogyakarta,200000
YOG-2094,2026-08-22,Makanan & Minuman,1,250000,Transfer Bank,Yogyakarta,250000
YOG-2095,2026-08-05,Kesehatan & Kecantikan,4,150000,Transfer Bank,Yogyakarta,600000
YOG-2096,2026-08-14,Rumah Tangga,5,250000,E-Wallet,Yogyakarta,1250000
YOG-2097,2026-08-08,Rumah Tangga,2,250000,Kartu Kredit,Yogyakarta,500000
YOG-2098,2026-08-04,Fashion,2,100000,Kartu Kredit,Yogyakarta,200000
YOG-2099,2026-08-29,Makanan & Minuman,3,25000,E-Wallet,Yogyakarta,75000
YOG-2100,2026-08-07,Elektronik,6,250000,COD,Yogyakarta,1500000
YOG-2101,2026-08-25,Fashion,2,150000,E-Wallet,Yogyakarta,300000
YOG-2102,2026-08-23,Makanan & Minuman,4,75000,Kartu Kredit,Yogyakarta,300000
YOG-2103,2026-08-27,Fashion,5,250000,Kartu Kredit,Yogyakarta,1250000
YOG-2104,2026-08-07,Fashion,5,100000,Transfer Bank,Yogyakarta,500000
YOG-2105,2026-08-16,Elektronik,7,25000,COD,Yogyakarta,175000
YOG-2106,2026-08-30,Elektronik,3,25000,Transfer Bank,Yogyakarta,75000
YOG-2107,2026-08-26,Elektronik,5,250000,Transfer Bank,Yogyakarta,1250000
YOG-2108,2026-08-03,Fashion,2,25000,Kartu Kredit,Yogyakarta,50000
YOG-2109,2026-08-20,Fashion,7,75000,E-Wallet,Yogyakarta,525000
YOG-2110,2026-08-22,Fashion,1,75000,E-Wallet,Yogyakarta,75000
YOG-2111,2026-08-01,Elektronik,3,100000,Kartu Kredit,Yogyakarta,300000
YOG-2112,2026-08-03,Fashion,1,25000,COD,Yogyakarta,25000
YOG-2113,2026-08-29,Rumah Tangga,2,150000,Kartu Kredit,Yogyakarta,300000
YOG-2114,2026-08-24,Makanan & Minuman,2,250000,Kartu Kredit,Yogyakarta,500000
YOG-2115,2026-08-12,Elektronik,3,50000,E-Wallet,Yogyakarta,150000
YOG-2116,2026-08-16,Elektronik,2,150000,E-Wallet,Yogyakarta,300000
YOG-2117,2026-08-21,Kesehatan & Kecantikan,3,250000,Kartu Kredit,Yogyakarta,750000
YOG-2118,2026-08-20,Kesehatan & Kecantikan,6,250000,COD,Yogyakarta,1500000
YOG-2119,2026-08-07,Fashion,6,100000,Transfer Bank,Yogyakarta,600000
YOG-2120,2026-08-28,Elektronik,1,150000,E-Wallet,Yogyakarta,150000
YOG-2121,2026-08-11,Rumah Tangga,4,150000,E-Wallet,Yogyakarta,600000
YOG-2122,2026-08-17,Fashion,3,250000,Transfer Bank,Yogyakarta,750000
