order_id,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota
YOG-2047,2026-08-21,Elektronik,4,250000,COD,Yogyakarta
YOG-2048,2026-08-10,Makanan & Minuman,7,25000,Transfer Bank,Yogyakarta
YOG-2049,2026-08-03,Fashion,2,25000,Kartu Kredit,Yogyakarta
YOG-2050,2026-08-26,Makanan & Minuman,6,75000,Kartu Kredit,Yogyakarta
YOG-2051,2026-08-07,Makanan & Minuman,4,150000,E-Wallet,Yogyakarta
YOG-2052,2026-08-06,Fashion,7,75000,E-Wallet,Yogyakarta
YOG-2053,2026-08-17,Kesehatan & Kecantikan,3,25000,Transfer Bank,Yogyakarta
YOG-2054,2026-08-25,Makanan & Minuman,3,50000,COD,Yogyakarta
YOG-2055,2026-08-10,Elektronik,4,50000,E-Wallet,Yogyakarta
YOG-2056,2026-08-24,Makanan & Minuman,5,100000,Kartu Kredit,Yogyakarta
YOG-2057,2026-08-23,Elektronik,6,100000,COD,Yogyakarta
YOG-2058,2026-08-06,Elektronik,1,100000,Kartu Kredit,Yogyakarta
YOG-2059,2026-08-23,Fashion,5,150000,COD,Yogyakarta
YOG-2060,2026-08-08,Elektronik,4,150000,COD,Yogyakarta
YOG-2061,2026-08-09,Fashion,2,25000,Transfer Bank,Yogyakarta
YOG-2062,2026-08-04,Rumah Tangga,1,150000,COD,Yogyakarta
YOG-2063,2026-08-19,Kesehatan & Kecantikan,5,50000,COD,Yogyakarta
YOG-2064,2026-08-24,Makanan & Minuman,5,250000,E-Wallet,Yogyakarta
YOG-2065,2026-08-22,Fashion,6,150000,Transfer Bank,Yogyakarta
YOG-2066,2026-08-11,Makanan & Minuman,3,50000,Kartu Kredit,Yogyakarta
YOG-2067,2026-08-15,Rumah Tangga,5,150000,E-Wallet,Yogyakarta
YOG-2068,2026-08-17,Fashion,6,100000,Transfer Bank,Yogyakarta
YOG-2069,2026-08-27,Fashion,7,25000,Kartu Kredit,Yogyakarta
YOG-2070,2026-08-22,Kesehatan & Kecantikan,1,75000,E-Wallet,Yogyakarta
YOG-2071,2026-08-19,Fashion,2,250000,Kartu Kredit,Yogyakarta
YOG-2072,2026-08-23,Kesehatan & Kecantikan,5,100000,E-Wallet,Yogyakarta
YOG-2073,2026-08-08,Kesehatan & Kecantikan,3,150000,Kartu Kredit,Yogyakarta
YOG-2074,2026-08-13,Rumah Tangga,6,75000,E-Wallet,Yogyakarta
YOG-2075,2026-08-24,Makanan & Minuman,6,25000,COD,Yogyakarta
YOG-2076,2026-08-14,Elektronik,4,150000,Kartu Kredit,Yogyakarta
YOG-2077,2026-08-14,Rumah Tangga,5,75000,E-Wallet,Yogyakarta
YOG-2078,2026-08-27,Makanan & Minuman,7,250000,Kartu Kredit,Yogyakarta
YOG-2079,2026-08-27,Rumah Tangga,4,25000,Transfer Bank,Yogyakarta
YOG-2080,2026-08-18,Kesehatan & Kecantikan,3,250000,Kartu Kredit,Yogyakarta
YOG-2081,2026-08-20,Rumah Tangga,1,100000,COD,Yogyakarta
YOG-2082,2026-08-16,Elektronik,4,250000,Kartu Kredit,Yogyakarta
YOG-2083,2026-08-22,Fashion,6,75000,COD,Yogyakarta
YOG-2084,2026-08-08,Fashion,1,75000,Kartu Kredit,Yogyakarta
YOG-2085,2026-08-18,Fashion,3,150000,Kartu Kredit,Yogyakarta
YOG-2086,2026-08-27,Fashion,6,150000,Transfer Bank,Yogyakarta
YOG-2087,2026-08-30,Elektronik,3,100000,COD,Yogyakarta
YOG-2088,2026-08-14,Makanan & Minuman,2,50000,Transfer Bank,Yogyakarta
YOG-2089,2026-08-22,Kesehatan & Kecantikan,1,150000,Kartu Kredit,Yogyakarta
YOG-2090,2026-08-27,Rumah Tangga,6,250000,E-Wallet,Yogyakarta
YOG-2091,2026-08-29,Elektronik,1,50000,COD,Yogyakarta
YOG-2092,2026-08-08,Elektronik,6,50000,Transfer Bank,Yogyakarta
YOG-2093,2026-08-13,Fashion,2,100000,Transfer Bank,Yogyakarta
YOG-2094,2026-08-22,Makanan & Minuman,1,250000,Transfer Bank,Yogyakarta
YOG-2095,2026-08-05,Kesehatan & Kecantikan,4,150000,Transfer Bank,Yogyakarta
YOG-2096,2026-08-14,Rumah Tangga,5,250000,E-Wallet,Yogyakarta
YOG-2097,2026-08-08,Rumah Tangga,2,250000,Kartu Kredit,Yogyakarta
YOG-2098,2026-08-04,Fashion,2,100000,Kartu Kredit,Yogyakarta
YOG-2099,2026-08-29,Makanan & Minuman,3,25000,E-Wallet,Yogyakarta
YOG-2100,2026-08-07,Elektronik,6,250000,COD,Yogyakarta
YOG-2101,2026-08-25,Fashion,2,150000,E-Wallet,Yogyakarta
YOG-2102,2026-08-23,Makanan & Minuman,4,75000,Kartu Kredit,Yogyakarta
YOG-2103,2026-08-27,Fashion,5,250000,Kartu Kredit,Yogyakarta
YOG-2104,2026-08-07,Fashion,5,100000,Transfer Bank,Yogyakarta
YOG-2105,2026-08-16,Elektronik,7,25000,COD,Yogyakarta
YOG-2106,2026-08-30,Elektronik,3,25000,Transfer Bank,Yogyakarta
YOG-2107,2026-08-26,Elektronik,5,250000,Transfer Bank,Yogyakarta
YOG-2108,2026-08-03,Fashion,2,25000,Kartu Kredit,Yogyakarta
YOG-2109,2026-08-20,Fashion,7,75000,E-Wallet,Yogyakarta
YOG-2110,2026-08-22,Fashion,1,75000,E-Wallet,Yogyakarta
YOG-2111,2026-08-01,Elektronik,3,100000,Kartu Kredit,Yogyakarta
YOG-2112,2026-08-03,Fashion,1,25000,COD,Yogyakarta
YOG-2113,2026-08-29,Rumah Tangga,2,150000,Kartu Kredit,Yogyakarta
YOG-2114,2026-08-24,Makanan & Minuman,2,250000,Kartu Kredit,Yogyakarta
YOG-2115,2026-08-12,Elektronik,3,50000,E-Wallet,Yogyakarta
YOG-2116,2026-08-16,Elektronik,2,150000,E-Wallet,Yogyakarta
YOG-2117,2026-08-21,Kesehatan & Kecantikan,3,250000,Kartu Kredit,Yogyakarta
YOG-2118,2026-08-20,Kesehatan & Kecantikan,6,250000,COD,Yogyakarta
YOG-2119,2026-08-07,Fashion,6,100000,Transfer Bank,Yogyakarta
YOG-2120,2026-08-28,Elektronik,1,150000,E-Wallet,Yogyakarta
YOG-2121,2026-08-11,Rumah Tangga,4,150000,E-Wallet,Yogyakarta
YOG-2122,2026-08-17,Fashion,3,250000,Transfer Bank,Yogyakarta
YOG-2123,2026-08-27,Makanan & Minuman,2,250000,Kartu Kredit,Yogyakarta
YOG-2124,2026-08-24,Makanan & Minuman,6,25000,Kartu Kredit,Yogyakarta
YOG-2125,2026-08-22,Fashion,6,100000,Transfer Bank,Yogyakarta
YOG-2126,2026-08-03,Fashion,3,150000,Transfer Bank,Yogyakarta
YOG-2127,2026-08-24,Elektronik,6,50000,Transfer Bank,Yogyakarta
YOG-2128,2026-08-18,Fashion,6,50000,Kartu Kredit,Yogyakarta
YOG-2129,2026-08-16,Fashion,7,25000,COD,Yogyakarta
YOG-2130,2026-08-22,Fashion,4,100000,Kartu Kredit,Yogyakarta
YOG-2131,2026-08-17,Kesehatan & Kecantikan,6,250000,COD,Yogyakarta
YOG-2132,2026-08-22,Kesehatan & Kecantikan,4,250000,Kartu Kredit,Yogyakarta
YOG-2133,2026-08-07,Elektronik,3,150000,Transfer Bank,Yogyakarta
YOG-2134,2026-08-05,Kesehatan & Kecantikan,6,150000,Transfer Bank,Yogyakarta
YOG-2135,2026-08-27,Fashion,4,100000,Transfer Bank,Yogyakarta
YOG-2136,2026-08-30,Fashion,4,150000,Transfer Bank,Yogyakarta
YOG-2137,2026-08-22,Kesehatan & Kecantikan,6,50000,Transfer Bank,Yogyakarta
YOG-2138,2026-08-30,Elektronik,7,100000,Transfer Bank,Yogyakarta
YOG-2139,2026-08-31,Kesehatan & Kecantikan,4,25000,Kartu Kredit,Yogyakarta
YOG-2140,2026-08-02,Elektronik,3,250000,E-Wallet,Yogyakarta
YOG-2141,2026-08-19,Makanan & Minuman,3,250000,COD,Yogyakarta
YOG-2142,2026-08-28,Fashion,1,75000,Transfer Bank,Yogyakarta
YOG-2143,2026-08-08,Kesehatan & Kecantikan,7,100000,COD,Yogyakarta
YOG-2144,2026-08-17,Kesehatan & Kecantikan,4,250000,Transfer Bank,Yogyakarta
YOG-2145,2026-08-20,Kesehatan & Kecantikan,6,25000,E-Wallet,Yogyakarta
YOG-2146,2026-08-09,Kesehatan & Kecantikan,5,250000,Kartu Kredit,Yogyakarta
YOG-2147,2026-08-31,Elektronik,4,150000,Transfer Bank,Yogyakarta
YOG-2148,2026-08-02,Fashion,7,250000,Transfer Bank,Yogyakarta
YOG-2149,2026-08-03,Fashion,6,75000,E-Wallet,Yogyakarta
YOG-2150,2026-08-12,Fashion,1,250000,Kartu Kredit,Yogyakarta
YOG-2151,2026-08-10,Kesehatan & Kecantikan,7,100000,COD,Yogyakarta
YOG-2152,2026-08-22,Rumah Tangga,3,25000,Transfer Bank,Yogyakarta
YOG-2153,2026-08-21,Fashion,5,150000,Transfer Bank,Yogyakarta
YOG-2154,2026-08-02,Rumah Tangga,7,25000,COD,Yogyakarta
YOG-2155,2026-08-25,Kesehatan & Kecantikan,2,150000,COD,Yogyakarta
YOG-2156,2026-08-26,Makanan & Minuman,3,250000,Transfer Bank,Yogyakarta
YOG-2157,2026-08-23,Elektronik,3,250000,COD,Yogyakarta
YOG-2158,2026-08-15,Makanan & Minuman,7,75000,Kartu Kredit,Yogyakarta
YOG-2159,2026-08-15,Elektronik,6,75000,Transfer Bank,Yogyakarta
YOG-2160,2026-08-15,Rumah Tangga,7,250000,Transfer Bank,Yogyakarta
YOG-2161,2026-08-27,Fashion,1,100000,Kartu Kredit,Yogyakarta
YOG-2162,2026-08-04,Fashion,4,50000,E-Wallet,Yogyakarta
YOG-2163,2026-08-23,Makanan & Minuman,7,75000,COD,Yogyakarta
YOG-2164,2026-08-17,Rumah Tangga,1,150000,COD,Yogyakarta
YOG-2165,2026-08-20,Makanan & Minuman,4,75000,Kartu Kredit,Yogyakarta
YOG-2166,2026-08-01,Fashion,3,100000,Kartu Kredit,Yogyakarta
YOG-2167,2026-08-20,Kesehatan & Kecantikan,4,50000,Transfer Bank,Yogyakarta
YOG-2168,2026-08-09,Fashion,5,50000,E-Wallet,Yogyakarta
YOG-2169,2026-08-29,Fashion,5,25000,COD,Yogyakarta
YOG-2170,2026-08-01,Elektronik,4,25000,Transfer Bank,Yogyakarta
YOG-2171,2026-08-10,Makanan & Minuman,6,75000,Transfer Bank,Yogyakarta
YOG-2172,2026-08-31,Kesehatan & Kecantikan,6,250000,Kartu Kredit,Yogyakarta
YOG-2173,2026-08-11,Kesehatan & Kecantikan,3,150000,COD,Yogyakarta
YOG-2174,2026-08-30,Makanan & Minuman,5,25000,Kartu Kredit,Yogyakarta
YOG-2175,2026-08-17,Fashion,7,25000,Kartu Kredit,Yogyakarta
YOG-2176,2026-08-04,Kesehatan & Kecantikan,3,75000,E-Wallet,Yogyakarta
YOG-2177,2026-08-30,Elektronik,2,100000,Kartu Kredit,Yogyakarta
YOG-2178,2026-08-06,Rumah Tangga,7,100000,E-Wallet,Yogyakarta
YOG-2179,2026-08-22,Rumah Tangga,6,250000,E-Wallet,Yogyakarta
YOG-2180,2026-08-10,Fashion,1,50000,Kartu Kredit,Yogyakarta
YOG-2181,2026-08-10,Fashion,3,25000,COD,Yogyakarta
YOG-2182,2026-08-27,Kesehatan & Kecantikan,5,100000,Transfer Bank,Yogyakarta
YOG-2183,2026-08-22,Makanan & Minuman,3,250000,Kartu Kredit,Yogyakarta
YOG-2184,2026-08-22,Fashion,3,50000,Kartu Kredit,Yogyakarta
YOG-2185,2026-08-25,Kesehatan & Kecantikan,2,50000,Kartu Kredit,Yogyakarta
YOG-2186,2026-08-11,Fashion,7,50000,COD,Yogyakarta
YOG-2187,2026-08-04,Makanan & Minuman,1,250000,COD,Yogyakarta
YOG-2188,2026-08-28,Fashion,7,25000,Kartu Kredit,Yogyakarta
YOG-2189,2026-08-26,Fashion,1,100000,Kartu Kredit,Yogyakarta
YOG-2190,2026-08-04,Fashion,5,100000,Kartu Kredit,Yogyakarta
YOG-2191,2026-08-31,Rumah Tangga,1,100000,Kartu Kredit,Yogyakarta
YOG-2192,2026-08-13,Rumah Tangga,6,100000,Kartu Kredit,Yogyakarta
YOG-2193,2026-08-30,Rumah Tangga,2,250000,E-Wallet,Yogyakarta
YOG-2194,2026-08-04,Makanan & Minuman,5,100000,Transfer Bank,Yogyakarta
YOG-2195,2026-08-25,Rumah Tangga,4,250000,Kartu Kredit,Yogyakarta
YOG-2196,2026-08-18,Fashion,1,150000,COD,Yogyakarta
YOG-2197,2026-08-27,Makanan & Minuman,4,25000,Kartu Kredit,Yogyakarta
YOG-2198,2026-08-07,Rumah Tangga,1,25000,COD,Yogyakarta
YOG-2199,2026-08-06,Rumah Tangga,1,75000,E-Wallet,Yogyakarta
